현금흐름표,-표준계정코드 미사용-,라이센스의 취득
재무상태표,dart_CurrentBiologicalAssetsGross,생물자산
자본변동표,-표준계정코드 미사용-,공정가치측정금융자산(채무상품)평가손익
자본변동표,-표준계정코드 미사용-,합병효과
현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,현금의 유출이 없는 수익 · 비용 조정
자본변동표,-표준계정코드 미사용-,종속기업 소유지분 변동
현금흐름표,-표준계정코드 미사용-,임대보증금의감소
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInAccountingPolicies,기업회계기준서 제1116호 최초 적용에 따른 조정
포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당손익
포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,자산재평가손익
자본변동표,-표준계정코드 미사용-,주식선택권 행사
자본변동표,-표준계정코드 미사용-,전환권행사
재무상태표,dart_ShortTermOtherReceivables,기타수취채권
자본변동표,-표준계정코드 미사용-,기타포괄손익-공정가치측정금융자산 평가손익
현금흐름표,-표준계정코드 미사용-,당기손익-공정가치측정금융상품(비유동)의 취득
포괄손익계산서,ifrs-full_ComprehensiveIncome,세후총포괄이익
자본변동표,-표준계정코드 미사용-,주식선택권의 부여/행사
현금흐름표,-표준계정코드 미사용-,자기주식 취득
자본변동표,dart_BonusIssue,무상증자
자본변동표,-표준계정코드 미사용-,지분법이익잉여금변동
현금흐름표,dart_PurchaseOfLongTermFinancialInstruments,장기투자자산의 증가
재무상태표,-표준계정코드 미사용-,당기손익인식금융부채
포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기총포괄순이익(손실)
현금흐름표,-표준계정코드 미사용-,매각예정처분자산집단으로 분류된 현금및현금성자산
자본변동표,-표준계정코드 미사용-,지분법자본변동및지분법이익잉여금
자본변동표,dart_TreasuryShareTransactions,자기주식 거래로 인한 증감
자본변동표,dart_ChangesInForeignExchangeRates,해외사업장 환산 외환차이
자본변동표,dart_StockRedemptionWithoutRefund,무상감자
자본변동표,dart_ShareBasedPaymentTransactions,주식매수선택권
현금흐름표,-표준계정코드 미사용-,종속ㆍ관계ㆍ조인트벤처주식의 취득
현금흐름표,-표준계정코드 미사용-,사업양도
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossOfControl,종속기업의 자본 및 지분율 변동
자본변동표,-표준계정코드 미사용-,연결대상기업으로 인한 변동
자본변동표,-표준계정코드 미사용-,2019.01.01 (기초자본 조정금액)
현금흐름표,dart_ProceedsFromSalesOfOtherFinancialAssets,당기손익-공정가치측정금융자산의 처분
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossOfControl,종속기업지분의 취득
자본변동표,-표준계정코드 미사용-,자기주식의 처분
자본변동표,-표준계정코드 미사용-,관계기업 및 공동기업의 기타포괄손익에 대한 지분
자본변동표,-표준계정코드 미사용-,총포괄손익 소계:
현금흐름표,-표준계정코드 미사용-,단기금융상품부채(파생상품)의 감소
자본변동표,-표준계정코드 미사용-,-현금흐름위험회피파생상품평가손익
자본변동표,ifrs-full_IssueOfEquity,주식발행
자본변동표,-표준계정코드 미사용-,자기주식취득
자본변동표,dart_CompoundFinancialInstrumentRedemption,전환사채의 콜옵션 행사
자본변동표,-표준계정코드 미사용-,주식선택권
현금흐름표,ifrs-full_PurchaseOfOtherLongtermAssetsClassifiedAsInvestingActivities,장기기타채권의 증가
자본변동표,-표준계정코드 미사용-,주식선택권행사
현금흐름표,-표준계정코드 미사용-,마일리지충당부채의 증가(감소)
현금흐름표,-표준계정코드 미사용-,반품충당부채의 증가
손익계산서,dart_GainsOnValuationOfLongTermFinancialInstruments,금융수익
자본변동표,-표준계정코드 미사용-,교환권대가
자본변동표,-표준계정코드 미사용-,종속기업의 상환전환우선주 상환
자본변동표,-표준계정코드 미사용-,연차배당
자본변동표,-표준계정코드 미사용-,자기주식의 소각
현금흐름표,-표준계정코드 미사용-,관계기업주식의 처분
재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기기타채권
현금흐름표,dart_AdjustmentsForIncreasedecreaseInAccruedExpenses,미지급비용의 감소
현금흐름표,dart_AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,기타유동부채의 증가(감소)
자본변동표,dart_ChangesInForeignExchangeRates,해외사업장 환산 외환차이
자본변동표,-표준계정코드 미사용-,순확정급여부채의 재측정요소
현금흐름표,-표준계정코드 미사용-,외화환산이익
재무상태표,-표준계정코드 미사용-,자본금
자본변동표,dart_ChangesInReserveOfGainsAndLossesFromInvestmentsInEquityInstruments,지분법평가
자본변동표,-표준계정코드 미사용-,기타포괄손익-공정가치 측정 금융자산의 처분 재분류
자본변동표,-표준계정코드 미사용-,현금흐름위험회피로 인한 손익
자본변동표,-표준계정코드 미사용-,기타포손익-공정가치 지분상품 평가손익
포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익
자본변동표,ifrs-full_Equity,기말자본
자본변동표,-표준계정코드 미사용-,순확정급여자산부채의 재측정요소
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInAccountingPolicies,회계정책의 변경
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossOfControl,종속기업지분변동
자본변동표,dart_TreasuryShareTransactions,자기주식의 변동
현금흐름표,dart_AdjustmentsForIncreasedecreaseInShortTermAdvancesCustomers,단기선수금의 증가(감소)
자본변동표,ifrs-full_IncreaseDecreaseThroughChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInLossOfControl,비지배지분 취득 등
재무상태표,-표준계정코드 미사용-,공동기업투자주식
자본변동표,ifrs-full_ProfitLoss,당기순이익(손실)
현금흐름표,dart_AdjustmentsForDecreaseincreaseInAdvancePayments,선급금
현금흐름표,-표준계정코드 미사용-,영업보증금의 감소
자본변동표,dart_AppropriationTransferReservationOfRetainedEarnings,이익잉여금 처분으로 인한 증감
현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로인한현금흐름
재무상태표,-표준계정코드 미사용-,관계기업투자및조인트벤처투자
포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업순이익
재무상태표,-표준계정코드 미사용-,매각예정비유동자산(유동)
포괄손익계산서,-표준계정코드 미사용-,경상개발비
현금흐름표,dart_AdjustmentsForIncreasedecreaseInProvisions,충당부채
현금흐름표,-표준계정코드 미사용-,파생상품자산/부채거래손실
자본변동표,dart_ChangesInReserveOfGainsAndLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정금융자산의 처분
손익계산서,dart_ExclusiveLineUseExpense,전용회선료및전파사용료
자본변동표,-표준계정코드 미사용-,자본잉여금의이입
자본변동표,dart_TreasuryShareTransactions,합병관련 자기주식 취득
자본변동표,-표준계정코드 미사용-,소유주와의 거래 총액
자본변동표,-표준계정코드 미사용-,-기타포괄손익-공정가치측정 금융자산 평가손익
현금흐름표,dart_RepaymentForGovernmentGrantsClassifiedAsFinancingActivities,기타금융부채의 상환
