corp_name,corp_code
가인피앤디,609272
가인행복,1547702
가일,1657540
가자건설정보,510695
가자브라보,1393226
가자아이,343446
가자알파,1392810
가장맛있는족발,1385500
가제트홀딩스,1535372
가젤제1호,1687408
가좌마을,589190
가주,1407149
가주건설,532545
가창로지스틱스파크프로젝트금융투자,1155185
가창물류,689843
가창엔지니어링,1575352
가천린포크축산물도매센터,1554960
가치네트,331007
가치와사람,444888
가치투자자문,526854
가톨릭대학교기술지주,1664841
가톨릭대학교산학협력단,537179
가톨릭신문사,974769
가트너리서치어드바이저리코리아,934859
가파치,106711
가평개발,671020
가평교통,186106
가평양주강군,1070954
가평양평지킴이,913810
가하,1173589
가하아이앤유,960544
가하유앤아이,1608128
가하이엠씨,500245
가하컨설팅,478469
가하티에스,609281
가하프라자,1407714
가현,217655
가현건설,493112
가현산업개발,969156
가현아이엔씨,1684483
가현엔프라,1152221
가현회계법인,1047293
가화,672986
가화개발,987736
가화개발,1075700
가화개발,1566026
가화건설,1230635
가회,1175967
가흘산업개발,1300217
가흥,1553776
가흥스카이골드,649784
각산건설,549846
각화동종합상가,689409
간삼건축종합건축사사무소,506276
간석목재산업,957513
간성선진병영,1543690
간송미술문화재단,1360422
갈더마코리아,487032
갈라랩,777722
갈라인터내셔널,809960
갈매기제이차,1482450
갈매기제일차,1448049
갈매대토제일차,1523766
갈매피에프브이,1555783
갈현에너지,676283
감계개발,617484
감계힐프로젝트제삼차,990183
감계힐프로젝트제이차,989770
감계힐프로젝트제일차,990174
감동란,1410134
감로건설,531971
감마레스제일차,1675634
감마스토리제일차,1658567
감마정보통신,509024
감마큐브,1099241
감만부두공용관리,833143
감브이엔씨,532226
감산장학회,348928
감성,891077
감성코퍼레이션,261009
감성테크놀로지,979223
감성홀딩스,1631579
감정4지구도시개발,1637786
감정평가법인대일감정원,540191
감정평가법인삼일,1495250
감코명화,605595
갑도물산,100267
갑산,766656
갑산메탈,626677
갑오,1378360
갑우문화사,484132
갑을,100276
갑을개발,150554
갑을개발,1310171
갑을건설,1037791
갑을골드텍,527923
갑을공영종합건설,387103
갑을민자,766911
갑을방적,100319
갑을상사,175243
갑을상호저축은행,100337
갑을엔지니어링,100285
갑을전자,100364
갑을지업,589923
갑을통신,244093
갑을프라스틱,366632
갑을합섬,100355
갑일건설,677936
갑조건설,1592340
갑지오토서비스,659408
갑진,838810
갑진씨앤디,639927
갓바위식품,1564824
갓바위워터피아온천,1228083
갓위더스,512338
갓텐코리아,1296783
갓파더사대부,1383238
갓파크리에이트코리아,869157
강경씨앤씨,576044
강구토건,1285680
강군병영,1304611
강남,671899
강남,100373
강남300컨트리클럽,194381
강남가설산업,1404799
강남개발,237242
강남건설,370884
강남건영,100382
강남건축,1290017
강남금융센터,405898
강남기계공업,1023576
강남대부동산금융,1331642
강남대성기숙학원,925310
강남대성학원,852698
강남메트로,1526754
강남명품주류,1506583
강남물류,577760
강남비전,1374179
강남산업,245117
강남선박,894010
강남수산,1691809
강남순환도로,457518
강남스틸,669104
강남스포렉스,1102703
강남실버케어,1017399
강남아르누보유동화전문유한회사,587475
강남에너지,660501
강남에이엠씨,1662791
강남제비스코,100939
강남종합건설,1646632
강남주민협의체,911681
강남주조,872090
강남중앙미디어,561079
강남철강,1565285
강남캐피탈,542658
강남케미컬,962126
강남케이피아이,100407
강남타워,1298286
강남태양열,248080
강남터미널지하쇼핑몰,941549
강남터미널지하쇼핑센터,801986
강남테크,1344196
강남텔레콤,1369618
강남프라임,1172766
강남필터,481490
강남화성,100425
강대마이맥,1651494
강덕,815642
강동,1231245
강동건설,668017
강동그린컴플렉스,1637263
강동냉동,198545
강동냉장,207339
강동디에치제일차,1112746
강동레미콘,1290105
강동레미콘에이치에스(HS),1558896
강동산단,1053212
강동산업,1231333
강동수산,100443
강동스텐,834328
강동식스피에프브이,1533505
강동에프에이,656465
강동웨딩케이디더블유용순기업,242545
강동제일차,1187740
강동종합유선방송,449555
강동콘크리트,1288960
강동테크,689171
강동프로젝트금융투자,899130
강릉건설,357388
강릉베스트,1435258
강릉비알제일차,1391404
강릉식자재마트,1658752
강릉씨티호텔,1385616
강릉아랫물길,765985
강릉아이앤디,640312
강릉약품,453743
강릉에코파워,1083620
강릉엘앤디,1667884
강릉엘앤디자산관리,1667893
강릉윈드파워,617509
강릉주택,100489
강림건설,678333
강림기연,175252
강림나노텍,972530
강림리사이클링,1619276
강림인슈,568708
강림정공,1383210
강림중공업,568735
강림C.S.P,100504
강립실업,639510
강명,664066
강백금속,1153886
강변,1223334
강변스포렉스,265139
강변테크노마트,657701
강보건설,661546
강북도시가스서비스,635082
강북모빌리티제1호,1680450
강북운수,1331581
강산개발,100531
강산건설,100540
강산건설산업,1474008
강산스틸,1329744
강산씨앤디,818728
강산엔텍,1583643
강산우드컴,1104075
강산전기,1635113
강산종합건설,962621
강산종합건설,1402065
강산타운원,1312027
강산타운투,1312036
강서공업,191773
강서도시가스,863454
강서로지스,1688975
강서부품,1075490
강서연창규곡투자유한공사,1161265
강서청과,579166
강선건설,471688
강성건설,1134456
강성냉장,483267
강성수산,299303
강숙희레디스웨어,246727
강스템바이오텍,1025644
강신산업,175261
강안교육,1463871
강앤파트너스,492335
강엔터프라이즈코리아,983314
강우건설,1078901
강우기업,100577
강운공업,1553402
강원,100586
강원고속,175289
강원금속,598897
강원기계기술,256557
강원나래관,763899
강원남부주민,1114124
강원네트웍스,567480
강원도개발공사,385655
강원도민일보,245649
강원도민프로축구단,685333
강원도시가스,112183
강원도시가스,300335
강원랜드,255619
강원레저개발,175270
강원레져개발,566241
강원물류,524342
강원바이오에너지,1062089
강원산업,100610
강원솔라파크,969828
강원심층수,627144
강원아이앤디,609908
강원에너지,100601
강원엔티에스,1014189
