롯데칠성우,005305,775310
롯데칠성,005300,9278884
롯데케미칼,011170,34275419
롯데하이마트,071840,23607712
마니커,027740,63511228
마스턴프리미어리츠,357430,26580000
만호제강,001080,4150000
맥쿼리인프라,088980,404845547
메리츠금융지주,138040,127571822
메리츠증권,008560,615040579
메리츠화재,000060,113783000
메타랩스,090370,24904689
명문제약,017180,33953454
명신산업,009900,52470133
모나리자,012690,36571255
모나미,005360,18897307
모두투어리츠,204210,7826815
모토닉,009680,33000000
무림페이퍼,009200,41609310
무림P&P,009580,62368324
무학,033920,28500000
문배철강,008420,20503505
미래산업,025560,4452007
미래아이앤지,007120,139417924
미래에셋글로벌리츠,396690,29060000
미래에셋맵스리츠,357250,20100000
맵스리얼티1,094800,92834331
미래에셋생명,085620,177016189
미래에셋증권우,006805,14075750
미래에셋증권2우B,00680K,140000000
미래에셋증권,006800,615316408
미원상사,002840,4970000
미원에스씨,268280,5100000
미원홀딩스,107590,2320000
미원화학,134380,2199268
미창석유,003650,1739672
바다로19호,155900,15200004
방림,003610,42314090
백광산업,001340,44918407
백산,035150,23405000
범양건영,002410,24831982
벽산,007210,68560000
보락,002760,59900000
보령,003850,68690000
보해양조,000890,139120129
부광약품,003000,71063049
부국증권우,001275,3000000
부국증권,001270,10369886
부국철강,026940,20000000
부산산업,011390,1056000
부산주공,005030,72928988
비비안,002070,29793990
비상교육,100220,12996741
비케이탑스,030790,21248145
빙그레,005180,9851241
사조대림,003960,9164467
사조동아원,008040,141144600
사조산업,007160,5000000
사조씨푸드,014710,17218543
사조오양,006090,9422739
삼부토건,001470,197673375
삼성SDI우,006405,1617896
삼성SDI,006400,68764530
삼성공조,006660,8126314
삼성물산우B,02826K,1627425
삼성물산,028260,186887081
삼성바이오로직스,207940,71174000
삼성생명,032830,200000000
삼성에스디에스,018260,77377800
삼성엔지니어링,028050,196000000
삼성전기우,009155,2906984
삼성전기,009150,74693696
삼성전자우,005935,822886700
삼성전자,005930,5969782550
삼성제약,001360,67162079
삼성중공우,010145,114845
삼성중공업,010140,880000000
삼성증권,016360,89300000
삼성출판사,068290,10000000
삼성카드,029780,115858891
삼성화재우,000815,3192000
삼성화재,000810,47374837
삼아알미늄,006110,11000000
삼양사우,145995,370070
삼양사,145990,10313449
삼양식품,003230,7533015
삼양통상,002170,3000000
삼양패키징,272550,15788671
삼양홀딩스우,000075,304058
삼양홀딩스,000070,8564271
삼영무역,002810,18466948
삼영전자,005680,20000000
삼영화학,003720,34000000
삼원강재,023000,40000000
삼익THK,004380,21000000
삼익악기,002450,90530915
삼일씨엔에스,004440,12731947
삼일제약,000520,13714450
삼정펄프,009770,2499971
삼진제약,005500,13900000
삼천리,004690,4055025
삼호개발,010960,25000000
삼화왕관,004450,2154379
삼화전기,009470,6613820
삼화전자,011230,10457940
삼화콘덴서,001820,10395000
삼화페인트,000390,27203469
상상인증권,001290,108337120
상신브레이크,041650,21471450
새론오토모티브,075180,19200000
샘표,007540,2875800
샘표식품,248170,4568286
서연,007860,23479844
서연이화,200880,27028437
서울가스,017390,5000000
서울식품우,004415,2224500
서울식품,004410,374755559
서원,021050,47474590
서흥,008490,11569113
선도전기,007610,18000000
SUN&L,002820,12607989
선진,136490,23779604
성문전자우,014915,600000
성문전자,014910,19486857
성보화학,003080,20020000
성신양회우,004985,735645
성신양회,004980,24516073
성안,011300,56857860
성창기업지주,000180,69751600
세기상사,002420,5293148
세방우,004365,3689250
세방,004360,19308690
세방전지,004490,14000000
세아베스틸지주,001430,35862119
세아제강,306200,2836300
세아제강지주,003030,4141657
세아특수강,019440,8570000
세아홀딩스,058650,4000000
세우글로벌,013000,28705031
세원이앤씨,091090,215132047
세원정공,021820,10000000
세이브존I&C,067830,41040895
세종공업,033530,27820961
세진중공업,075580,56849456
세하,027970,57562997
센트랄모텍,308170,8610000
센트럴인사이트,012600,18136345
셀트리온,068270,140805210
솔루스첨단소재1우,33637K,8455219
솔루스첨단소재2우B,33637L,1889350
솔루스첨단소재,336370,35111195
솔루엠,248070,50005551
송원산업,004430,24000000
수산인더스트리,126720,14286000
수산중공업,017550,53985163
스틱인베스트먼트,026890,41678175
시디즈,134790,2000000
신대양제지,016590,4029782
신도리코,029530,10080029
신라교역,004970,16000000
신성이엔지,011930,205848151
신성통상,005390,143708390
신세계건설,034300,4000000
신세계,004170,9845181
신세계 I&C,035510,17200000
신세계인터내셔날,031430,35700000
신세계푸드,031440,3872480
신송홀딩스,006880,11828858
신영와코루,005800,9000000
신영증권우,001725,7053763
신영증권,001720,9386237
신원,009270,102586356
신일전자,002700,71047521
신풍,002870,34958700
신풍제약우,019175,2200000
신풍제약,019170,52984990
신한지주,055550,512934131
신한서부티엔디리츠,404990,55955884
신한알파리츠,293940,73830123
신흥,004080,9500000
쌍방울,102280,262592129
쌍용C&E,003410,503859595
쌍용차,003620,166956024
써니전자,004770,34845011
쎌마테라퓨틱스,015540,31696784
쏘카,403550,32725652
씨아이테크,004920,43610063
씨에스윈드,112610,42171403
CJ대한통운,000120,22812344
CJ CGV,079160,47712645
CJ제일제당 우,097955,1327433
CJ제일제당,097950,15054186
아남전자,008700,77124820
아모레G우,002795,6443770
아모레G3우(전환),00279K,7092200
아모레G,002790,82458180
아모레퍼시픽우,090435,10557830
아모레퍼시픽,090430,58492759
아세아,002030,2191024
아세아시멘트,183190,38958090
아세아제지,002310,8956502
아센디오,012170,80509196
아시아나IDT,267850,11100000
아시아나항공,020560,74411764
아이마켓코리아,122900,33428840
아이에스동서,010780,30892606
아주스틸,139990,26452189
알루코,001780,89969432
애경산업,018250,26409935
애경케미칼,161000,48648709
에넥스,011090,59991641
에스디바이오센서,137310,104117453
SBS,034120,18252582
에스엘,005850,46448520
에스엠벡셀,010580,111251760
에스원,012750,37999178
SG세계물산,004060,202424960
SK디스커버리우,006125,1358455
SK디스커버리,006120,19037855
SK렌터카,068400,47285840
SK바이오사이언스,302440,76784046
SK바이오팜,326030,78313250
SK하이닉스,000660,728002365
에쓰씨엔지니어링,023960,31249355
에어부산,298690,116640000
에이블씨엔씨,078520,27033459
에이엔피,015260,29822532
에이리츠,140910,4463032
HDC랩스,039570,25957601
HDC현대EP,089470,31900000
HD현대,267250,78993085
HSD엔진,082740,71543994
HLB글로벌,003580,42367042
HMM,011200,489039496
에이프로젠,007460,761006567
에이프로젠제약,003060,398575882
에이플러스에셋,244920,22607693
엔씨소프트,036570,21954022
엔에이치스팩19호,380440,51290000
