세방전지,00133858,004490,14000000
세아베스틸지주,00106669,001430,35862119
세아제강,01325979,306200,2836300
세아제강지주,00124197,003030,4141657
세아특수강,00133991,019440,8570000
세아홀딩스,00377610,058650,4000000
세우글로벌,00134176,013000,28705031
세원이앤씨,00585219,091090,215132047
세원정공,00134316,021820,10000000
세이브존I&C,00422895,067830,41040895
세종공업,00134510,033530,27820961
세진중공업,00415628,075580,56849456
세하,00133706,027970,57562997
센트랄모텍,00450010,308170,8610000
센트럴인사이트,00151863,012600,18136345
셀트리온,00413046,068270,140805210
솔루스첨단소재,01412822,336370,35111195
솔루엠,01159233,248070,50005551
송원산업,00134963,004430,24000000
수산인더스트리,00193328,126720,14286000
수산중공업,00135111,017550,53985163
스틱인베스트먼트,00117498,026890,41678175
시디즈,00852087,134790,2000000
신대양제지,00135777,016590,4029782
신도리코,00135795,029530,10080029
신라교역,00135962,004970,16000000
신성이엔지,00136271,011930,205848151
신성통상,00136341,005390,143708390
신세계건설,00217947,034300,4000000
신세계,01630808,004170,9845181
신세계인터내셔날,00234412,031430,35700000
신세계푸드,00274933,031440,3872480
신송홀딩스,00136402,006880,11828858
신영와코루,00136624,005800,9000000
신영증권,00136721,001720,9386237
신원,01625860,009270,102586356
신일전자,00173698,002700,71047521
신풍,00137368,002870,34958700
신풍제약,00137359,019170,52984990
신한지주,00382199,055550,512934131
신한서부티엔디리츠,01436558,404990,55955884
신한알파리츠,01276594,293940,73830123
신흥,00173795,004080,9500000
쌍방울,00681142,102280,262592129
써니전자,00138057,004770,34845011
쎌마테라퓨틱스,00108065,015540,31696784
쏘카,01026157,403550,32725652
씨아이테크,00127158,004920,43610063
씨에스윈드,00670340,112610,42171403
CJ대한통운,00113410,000120,22812344
CJ CGV,00303873,079160,47712645
CJ제일제당,00635134,097950,15054186
아남전자,00138516,008700,77124820
아모레퍼시픽,00583424,090430,58492759
아세아,00138701,002030,2191024
아세아시멘트,00990165,183190,38958090
아세아제지,00138729,002310,8956502
아센디오,00145437,012170,80509196
아시아나IDT,00458234,267850,11100000
아시아나항공,00138792,020560,74411764
아이마켓코리아,00360142,122900,33428840
